AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,PM2.5,RH,SO2
21,2.3,0.7,0.46,12,26,38,84,66.4,96,3.1
21,2.4,0.68,0.38,16,25,41,83,57.3,96,2.8
21,2.5,0.65,0.34,23,25,48,90,57.3,97,3.1
21,2.5,0.67,0.36,29,22,51,89,52.1,97,2.2
21,2.6,0.66,0.35,26,21,47,88,48.2,98,1.7
21,2.7,0.69,0.34,24,20,45,70,46.9,98,1.6
21,2.6,0.85,0.51,44,20,63,60,46.9,98,2.1
21,2.7,1.85,0.96,91,21,113,60,70.3,98,3.9
22,2.7,2.37,1.24,73,39,112,78,72.9,98,5.7
24,2.1,2.06,1.19,22,58,79,97,89.8,86,6.6
27,2,1.11,0.51,4.1,36,40,93,74.2,76,3.9
27,1.9,0.59,0.3,1.2,22,23,84,71.6,77,3.4
23.9,1.84,0.45,0.13,4.18,15.67,20,69,66.4,81.1,3.79
27,1.7,0.33,0.08,2.79,14.51,17.33,63,66.4,71,4.5
26,1.7,0.3,0.08,2.87,15.22,18.11,55,50.8,70,3.8
26,1.7,0.27,0.11,2.28,14.33,16.78,51,46.9,71,3.4
25,1.8,0.37,0.15,2.03,17.22,19.44,64,54.7,79,4.3
24,1.9,0.57,0.29,2.19,24.2,26.6,81,76.8,82,4.4
24,1.9,0.64,0.34,2.64,24.05,26.5,101,89.8,85,3
23,1.9,0.54,0.26,2.74,21.2,24.03,105,89.8,87,2.5
22,2,0.48,0.22,3.67,22.3,25.9,112,100.2,87,2.2
22,2,0.5,0.18,4.43,24.1,28.5,125,98.9,88,2.6
22,2,0.58,0.2,1.5,28,30,134,104.1,89,4.5
22,2.1,0.57,0.25,5.2,28,33,137,105.4,89,5
22,2.1,0.59,0.28,9.2,26,36,139,102.8,90,4.6
22,2.2,0.6,0.36,12,25,37,142,98.9,90,4.2
21,2.3,0.61,0.41,15,23,38,141,89.8,91,3.2
22,2.4,0.63,0.43,23,21,44,134,84.6,91,3.1
21,2.5,0.6,0.42,26,18,44,118,80.7,91,2.4
21,2.6,0.6,0.43,25,17,42,112,71.6,91,2.2
21,2.7,0.61,0.32,15,18,33,110,67.7,92,2.5
21,2.3,0.71,0.31,13,20,33,109,56,92,2.4
20,1.9,0.45,0.17,4.5,17,22,89,52.1,90,1.8
20,1.8,0.37,0.12,0.5,14,14,50,44.3,88,1.3
21,1.8,0.38,0.14,2.5,16,19,34,36.5,86,1.8
23,1.78,0.34,0.11,3.8,11,15,20,19.6,81,1.9
25,1.76,0.26,0.11,1.1,6,7.1,21,17,72,1.3
26,1.78,0.22,0.09,-0.3,5.1,4.8,12,7.9,66,1.1
26,1.78,0.25,0.09,0,7.7,7.7,15,15.7,69,1.3
25,1.8,0.27,0.1,2.3,12.6,14.92,25,19.6,75,2.5
23,1.8,0.29,0.1,0.6,9.2,9.7,43,28.7,80,1.5
22,1.8,0.35,0.12,0.2,13,13,54,31.3,83,1.3
20,1.8,0.35,0.07,0,12,12,60,31.3,84,0.8
20,1.8,0.35,0.09,-0.1,12,12,53,39.1,84,1.1
19,1.8,0.4,0.09,-0.2,12,12,45,41.7,84,2
19,1.8,0.44,0.09,-0.2,21,20,48,46.9,83,4.5
19,1.8,0.36,0.08,-0.1,12,12,45,44.3,81,2.3
19,1.8,0.31,0.06,-0.2,8.5,8.2,47,33.9,80,0.9
19,1.8,0.31,0.05,-0.2,7.7,7.5,39,22.2,80,1.2
19,1.8,0.31,0.05,-0.1,8.2,8,35,15.7,80,1.3
19,1.8,0.3,0.09,-0.1,7.8,7.7,31,19.6,81,1.3
19,1.8,0.3,0.11,-0.1,8.8,8.6,32,23.5,81,1.4
19,1.8,0.31,0.11,-0.2,8.8,8.6,36,27.4,81,1.4
18,1.8,0.3,0.13,0,7.8,7.8,42,28.7,82,1.4
18,1.9,0.36,0.12,0.1,13,14,46,30,82,1.9
18,1.9,0.48,0.13,2.3,17,19,51,28.7,82,2.5
19,1.9,0.47,0.15,6.7,17,23,56,37.8,80,5.2
20,1.9,0.43,0.17,6.2,13,19,54,39.1,78,2.4
22,1.9,0.39,0.15,5.5,13,18,57,44.3,74,2.2
23,1.8,0.36,0.13,2.2,7.6,9.8,58,40.4,71,1.9
23,1.8,0.34,0.1,0.7,5.9,6.6,64,45.6,68,2
24,1.86,0.4,0.09,0.8,7.6,8.4,64,39.1,67,3.1
22,1.86,0.39,0.09,0.3,6.5,6.8,75,45.6,72,2.6
21,1.7,0.4,0.12,1.47,9.89,11.46,82,46.9,74,2.6
20,1.8,0.41,0.15,0.1,6.1,6.2,92,59.9,75,1.7
19,1.8,0.45,0.11,-0.1,6.3,6.2,87,58.6,77,1.5
19,1.9,0.5,0.1,0,11,11,86,53.4,78,1.8
19,1.9,0.49,0.13,0,13,12,81,54.7,78,2.7
19,1.9,0.44,0.07,-0.1,8.6,8.5,80,57.3,78,2.9
19,1.9,0.42,0.08,0,8.5,8.5,69,54.7,79,3.3
18,1.9,0.47,0.13,-0.2,12,12,66,48.2,81,3.5
18,1.9,0.48,0.13,-0.2,13,13,67,48.2,81,2.6
18,1.9,0.47,0.15,0,15,15,66,53.4,84,2.2
18,2,0.44,0.14,-0.1,12,12,65,48.2,85,2.1
18,1.8,0.35,0.1,0,8.2,8.2,46,39.1,85,1.7
18,1.8,0.34,0.1,0,11,11,43,37.8,86,2.3
18,1.9,0.32,0.1,0.1,10,10,29,31.3,89,1.5
18,1.9,0.39,0.15,0.3,14,15,36,36.5,90,1.7
18,2,0.47,0.17,1,20,21,34,39.1,90,1.9
18,2,0.67,0.26,8.2,23,31,47,54.7,89,2.4
18,1.9,0.54,0.2,7.7,18,25,50,61.2,86,2.3
20,1.8,0.37,0.17,3.2,9.6,13,50,58.6,79,2.3
21,1.8,0.33,0.09,2.1,8.4,10,42,43,75,2.2
21,1.8,0.35,0.08,2,8.7,11,48,27.4,71,2.6
22,1.8,0.44,0.08,2.6,13,15,54,19.6,68,4.5
22,1.8,0.36,0.08,1.9,9.7,12,60,36.5,65,2.7
23,1.8,0.36,0.08,1,9.1,10,56,37.8,64,2.6
23,1.8,0.41,0.11,0.9,12,13,56,50.8,65,3
21,1.8,0.45,0.11,0.6,11,12,64,48.2,72,3.4
19,1.8,0.45,0.1,0.1,9.9,9.9,80,57.3,75,2.4
18,1.8,0.42,0.1,0,8.8,8.8,85,58.6,75,2.3
18,1.8,0.43,0.11,0,11,11,82,61.2,74,3.7
18,1.8,0.52,0.13,0.1,16,16,79,53.4,75,3.9
17,1.8,0.52,0.13,0,14,14,78,52.1,77,3.4
17,1.8,0.48,0.13,-0.1,12,12,70,44.3,77,2.7
17,1.8,0.51,0.1,0,10,10,58,54.7,79,3.1
17,1.8,0.52,0.1,0,11,11,55,53.4,80,4.3
17,1.8,0.49,0.1,-0.1,13,13,63,57.3,79,5
16,1.8,0.5,0.08,0,15,15,58,43,79,4.5
16,1.8,0.39,0.08,0.7,7.3,8,52,33.9,79,2.3
16,1.8,0.42,0.09,0.7,11,12,42,30,81,2
15,1.8,0.47,0.1,0.8,11,12,38,33.9,83,1.8
15,1.9,0.55,0.13,1.2,18,20,44,32.6,84,2
15,1.9,0.63,0.19,7,20,27,52,37.8,84,2.5
17,1.9,0.65,0.31,12,20,32,64,41.7,80,3
18,1.9,0.54,0.18,7.2,14,21,59,52.1,76,2.8
20,1.8,0.48,0.13,3.3,9,12,55,46.9,71,2.4
21,1.8,0.48,0.11,2.1,8.1,10,50,56,68,2.9
22,1.8,0.46,0.08,1.9,8.2,10,52,48.2,65,3.5
23,1.8,0.43,0.07,1.4,7.4,8.8,50,50.8,62,3.5
23,1.8,0.45,0.09,1,7.9,8.9,54,41.7,66,3.7
22,1.8,0.5,0.1,1.2,11,12,62,39.1,68,4.3
21,1.8,0.52,0.1,1.2,13,14,75,50.8,70,4.3
20,1.8,0.54,0.11,0.8,12,13,91,53.4,74,3
19,1.8,0.52,0.11,0.7,13,14,90,62.5,77,2.4
18,1.8,0.5,0.1,0.7,12,12,85,50.8,80,2.6
18,1.8,0.52,0.1,0.8,16,17,77,59.9,82,2.8
18,1.9,0.56,0.11,0.7,19,19,79,54.7,83,3.1
17,1.9,0.6,0.13,0.8,23,24,85,62.5,84,3.3
17,1.9,0.65,0.15,1,25,26,85,59.9,85,3
17,2,0.66,0.16,1.7,28,30,86,65.1,86,3.2
16,2,0.54,0.17,1.2,19,20,79,61.2,87,2.2
17,2,0.52,0.12,0.8,12,12,85,67.7,86,2.8
16,2,0.53,0.14,0.6,16,17,83,62.5,87,2.9
16,2.1,0.54,0.16,1,21,22,87,70.3,87,2.6
16,2,0.65,0.2,4.7,27,32,76,66.4,87,3.4
16,2,0.69,0.24,4.3,26,30,75,66.4,87,3.1
16,2.1,0.81,0.3,11,24,35,81,70.3,87,3.5
17,2,0.83,0.31,16,24,40,87,82,84,4.5
19,2,0.73,0.26,9.7,22,32,92,91.1,78,3.8
21,1.9,0.64,0.19,5.5,18,24,93,84.6,71,4
22,1.8,0.6,0.13,3.4,15,18,86,75.5,68,4.6
23,1.8,0.5,0.08,1.9,10,12,79,72.9,64,3.2
23,1.8,0.47,0.07,1.3,9.2,10,74,70.3,71,3.2
22,1.8,0.45,0.07,0.9,9.3,10,85,74.2,76,3.7
21,1.7,0.41,0.07,0.7,9.6,10,99,75.5,78,3.6
21,1.8,0.39,0.08,0.6,11,11,96,80.7,80,3.5
20,1.7,0.38,0.08,0.3,12,12,86,62.5,82,3.4
20,1.7,0.43,0.09,0.4,14,14,73,61.2,82,2.6
20,1.8,0.38,0.07,0.3,15,15,75,58.6,84,2.3
19,1.8,0.44,0.1,0.4,16,17,86,66.4,86,2.5
19,1.8,0.44,0.09,0.5,15,15,90,62.5,87,1.9
19,1.8,0.37,0.06,0.3,9.2,9.5,85,56,87,1.7
19,1.8,0.37,0.06,0.2,9.8,10,80,54.7,87,1.3
19,1.8,0.4,0.06,0.3,11,12,85,45.6,87,1.2
19,1.8,0.38,0.06,0.2,9.6,9.8,89,57.3,88,1.7
19,1.8,0.35,0.06,0.3,8.8,9.2,90,53.4,87,1.6
19,1.8,0.35,0.06,0.5,10,11,94,67.7,88,1.7
19,1.8,0.33,0.06,0.3,11,11,99,54.7,88,1.9
19,1.8,0.33,0.07,0.4,9.3,9.7,92,54.7,88,1.9
19,1.8,0.39,0.08,0.9,15,16,85,40.4,88,2.6
19,1.8,0.5,0.13,2.5,17,20,73,50.8,88,2.3
20,1.9,0.59,0.18,6.4,20,26,69,48.2,88,2.2
20,1.8,0.5,0.18,7.2,20,27,57,58.6,89,2.7
20,1.9,0.56,0.21,13,24,37,57,52.1,90,2.9
20,1.8,0.53,0.29,16,23,39,57,56,90,2.9
20,1.8,0.48,0.26,14,18,32,54,54.7,87,2.5
21,1.8,0.43,0.18,6.2,16,22,45,44.3,86,2.1
20,1.8,0.37,0.14,3.4,11,15,35,32.6,85,1.8
20,1.7,0.38,0.11,2.1,15,17,31,26.1,85,1.6
19,1.7,0.36,0.11,1.2,13,14,30,26.1,85,1.7
18,1.7,0.31,0.08,0.6,9.3,9.9,26,23.5,88,1.5
17,1.7,0.27,0.07,0.3,7.8,8.1,18,14.4,88,1.5
17,1.7,0.28,0.12,0.5,11,11,7,7.9,88,1.8
17,1.7,0.3,0.15,0.5,11,12,8,7.9,89,1.7
17,1.7,0.27,0.12,0.2,9.2,9.4,11,9.2,89,1.7
17,1.7,0.29,0.12,0.4,13,13,25,13.1,88,1.8
17,1.8,0.28,0.1,0.3,13,13,26,9.2,86,2
17,1.8,0.29,0.12,0.5,13,13,24,5.3,86,2.9
17,1.8,0.3,0.08,0.3,10,11,20,2.7,86,3
17,1.8,0.31,0.1,0.4,11,11,21,11.8,87,3
17,1.7,0.27,0.11,0.2,6.7,6.9,28,11.8,86,2.5
17,1.8,0.25,0.07,0.2,8.1,8.3,23,15.7,85,2.1
17,1.8,0.31,0.08,0.1,9.6,9.8,21,14.4,85,2.6
17,1.8,0.32,0.08,0.3,10,11,26,24.8,85,2.3
17,1.8,0.45,0.11,1.3,13,15,32,18.3,84,2.3
18,1.8,0.44,0.1,3.2,13,16,26,27.4,81,2.7
19,1.8,0.37,0.1,4.6,11,16,28,26.1,79,2.6
20,1.8,0.36,0.12,5.1,11,16,27,31.3,76,2.8
22,1.8,0.34,0.15,3.9,11,15,36,22.2,71,2.9
22,1.7,0.33,0.09,1.2,6.9,8.2,37,24.8,70,3
22,1.7,0.36,0.08,1.3,10,11,42,24.8,70,4
22,1.7,0.34,0.14,0.6,8.3,9,45,30,70,3.7
21,1.7,0.38,0.13,0.6,12,13,54,26.1,73,3.8
20,1.7,0.36,0.14,0.3,11,11,61,24.8,74,3.3
19,1.8,0.37,0.12,0.2,11,11,63,23.5,77,2.9
19,1.8,0.4,0.16,0.3,12,13,52,15.7,77,3.5
19,1.8,0.4,0.18,0.2,14,14,42,28.7,77,4
18,1.8,0.4,0.13,0.3,13,14,48,28.7,78,4.1
18,1.8,0.38,0.1,0.3,14,14,56,37.8,77,5.2
18,1.8,0.45,0.11,0.3,18,18,54,31.3,77,6.7
17,1.8,0.54,0.13,0.5,22,22,45,31.3,78,6.5
17,1.8,0.56,0.11,0.7,20,20,33,26.1,79,6.1
17,1.8,0.58,0.1,0.4,22,22,33,23.5,79,6.9
17,1.8,0.42,0.09,0.3,13,13,36,24.8,80,3.3
16,1.8,0.37,0.11,0.3,15,16,36,24.8,84,2.5
16,1.8,0.34,0.1,0.1,8.5,8.5,37,28.7,85,1.9
16,1.8,0.34,0.09,0.1,7,7.1,27,28.7,84,1.8
16,1.8,0.35,0.1,0.3,7.7,8,22,28.7,83,1.8
16,1.8,0.43,0.13,0.7,11,12,21,19.6,83,2
16,1.8,0.45,0.14,1.8,16,17,28,19.6,81,2.3
17,1.8,0.56,0.14,3.4,17,20,32,24.8,79,3.5
17,1.8,0.51,0.1,2.9,13,15,35,26.1,78,3.7
18,1.8,0.49,0.11,3.1,16,19,32,28.7,77,3.5
19,1.8,0.43,0.1,3.7,12,16,40,40.4,72,3
19,1.8,0.38,0.08,1.8,7,8.8,39,37.8,68,2.5
19,1.8,0.45,0.1,1.5,11,13,50,44.3,68,3.4
18,1.8,0.45,0.15,1,15,16,53,41.7,75,3
17,1.8,0.46,0.15,1,17,18,58,53.4,80,2.8
17,1.8,0.49,0.13,0.4,16,16,51,48.2,81,2.6
16,1.8,0.52,0.16,0.3,18,18,43,44.3,79,3.5
16,1.8,0.56,0.18,0.6,25,26,35,40.4,81,3.6
15,1.8,0.49,0.2,0.5,19,20,28,31.3,83,2.5
15,1.9,0.52,0.18,0.6,21,22,30,28.7,84,2.3
15,1.9,0.49,0.2,0.3,17,18,41,26.1,85,2.1
14,1.9,0.48,0.17,0.3,14,14,51,31.3,84,2.1
14,1.9,0.48,0.18,0.4,13,13,50,28.7,84,2
14,1.9,0.51,0.16,0.5,18,18,45,27.4,84,2.3
14,1.9,0.53,0.17,0.5,20,20,42,30,84,2.2
14,1.9,0.54,0.18,0.6,20,20,42,36.5,84,2.4
14,1.9,0.56,0.17,0.7,16,16,37,40.4,85,1.9
14,1.9,0.56,0.17,1,17,18,41,43,86,1.8
13,1.9,0.58,0.18,0.7,11,12,44,44.3,85,1.8
14,1.9,0.87,0.19,3.1,16,19,53,43,84,3.6
15,1.9,0.87,0.16,6.7,17,24,59,44.3,79,5.1
16,1.8,0.64,0.13,5.5,13,18,54,48.2,74,3.3
18,1.8,0.63,0.15,6.3,16,22,64.8,55.35,70,3.1
19,1.92,0.64,0.19,3.9,15.1,19.1,51,58.6,70,3.46
19,1.8,0.6,0.21,3.7,17,21,50,53.4,71,2.6
20,1.7,0.62,0.23,7.3,20,27,56,46.9,68,2.7
20,1.7,0.58,0.17,7.1,13,20,60,43,67,2.5
20,1.7,0.6,0.19,5.9,19,25,69,57.3,69,4.5
19,1.7,0.63,0.2,6.1,23,29,85,76.8,70,4.6
18,1.7,0.7,0.23,0.3,17,17,106,95,74,4
17,1.8,0.68,0.22,0.3,16,16,107,96.3,78,2.9
17,1.8,0.71,0.24,0.4,17,17,106,100.2,79,3
16,1.8,0.78,0.31,0.5,22,22,101,100.2,81,3.9
16,1.8,0.82,0.28,1,27,28,105,97.6,82,3.7
16,1.9,0.79,0.29,1.2,29,30,103,93.7,82,3.4
16,1.9,0.76,0.3,1.5,29,30,96,85.9,83,3.4
15,1.9,0.78,0.35,4.6,32,37,87,95,83,3.8
15,2,0.75,0.38,7,32,39,86,89.8,84,3.4
15,2,0.74,0.31,4.2,27,31,82,93.7,83,3.7
15,2,0.79,0.29,3.5,27,31,74,89.8,83,3.7
15,2,0.76,0.29,6.1,28,34,68,89.8,84,4.1
16,2,0.8,0.34,9.4,27,37,65,83.3,85,4.3
16,2.1,0.82,0.36,15,26,41,73,76.8,85,3.7
16,2,1,0.33,12,24,36,77,79.4,86,4
16,2,0.97,0.31,21,25,46,73,72.9,86,3.8
16,2,0.81,0.37,16,23,39,70,79.4,86,3.8
17,1.9,0.69,0.29,9.7,21,30,70,71.6,85,3.2
17,1.9,0.71,0.29,14,23,37,71,72.9,85,3.3
17,1.9,0.76,0.3,18,27,44,62,67.7,86,3.8
17,1.9,0.65,0.23,9,26,35,65,70.3,87,2.9
17,1.9,0.66,0.24,7.5,27,35,68,85.9,87,2.6
17,1.9,0.7,0.28,8.3,31,40,76,72.9,87,2.7
17,1.9,0.67,0.27,5.5,32,37,62,88.5,88,2.6
17,1.8,0.73,0.24,4.3,35,39,63,65.1,88,2.4
17,1.8,0.72,0.24,2.7,33,36,53,75.5,88,2.5
17,1.8,0.65,0.26,2,35,37,59,59.9,88,2.6
16,1.8,0.65,0.28,3.1,36,39,53,65.1,87,2.9
16,1.8,0.64,0.31,3.9,35,39,61,58.6,87,2.9
16,1.9,0.63,0.33,6.2,34,41,60,61.2,89,2.7
16,1.9,0.54,0.29,1.1,24,25,60,57.3,87,2.2
16,1.9,0.52,0.22,1.1,25,26,52,56,87,1.7
16,1.9,0.57,0.23,3.7,28,32,51,58.6,88,2.8
16,2,0.64,0.32,8,30,38,47,59.9,89,4.8
16,2,0.6,0.32,5.7,28,34,57,65.1,89,4
16,2,0.61,0.26,1.8,24,26,61,67.7,90,2.5
16,1.9,0.66,0.21,1.2,22,24,78,62.5,89,3.1
16,1.9,0.67,0.21,1.9,23,25,78,82,89,2.9
16,1.9,0.68,0.29,8,21,29,86,70.3,88,2.9
17,1.9,0.69,0.3,8.3,16,24,76,80.7,85,3.6
18,1.9,0.61,0.21,9.9,16,26,76,59.9,80,3.5
20,1.8,0.52,0.18,6.7,15,22,66,58.6,73,2.9
22,1.8,0.49,0.18,6.5,16,23,62,59.9,68,2.7
23,1.8,0.4,0.11,1.6,8.7,10,53,53.4,65,2.4
24,1.7,0.36,0.08,0.7,7.4,8.1,47,48.2,62,2.1
24,1.7,0.38,0.09,0.4,7.2,7.5,38,33.9,61,2.6
23,1.7,0.39,0.09,0.5,9,9.5,45,33.9,70,3.1
22,1.7,0.42,0.12,0.6,10,11,50,40.4,74,3.4
21,1.8,0.46,0.14,0.2,14,15,60,33.9,79,3.5
20,1.8,0.49,0.17,0.1,17,17,64,41.7,82,3.7
20,1.8,0.58,0.18,0.3,21,21,66,45.6,83,2.9
20,1.9,0.58,0.17,0.3,20,20,68,57.3,83,2.3
19,1.9,0.5,0.14,0.5,15,16,59,46.9,85,2
19,1.9,0.46,0.1,0.4,14,14,56,45.6,86,2.4
19,2,0.47,0.11,0.7,17,17,53,37.8,87,2.9
19,2,0.5,0.15,0.6,19,19,53,46.9,88,3.1
19,2,0.5,0.14,0.6,17,18,47,39.1,89,2.6
19,2.1,0.47,0.13,0.7,17,18,47,39.1,91,2
18,2,0.42,0.1,0.7,13,13,41,28.7,91,2.1
19,2.1,0.54,0.15,0.7,18,18,48,27.4,91,2.3
19,2.1,0.62,0.21,1.9,22,24,63,41.7,92,2.6
19,2.1,0.62,0.19,2.5,20,23,70,44.3,92,1.9
19,2.1,0.64,0.19,6.1,17,23,73,48.2,92,2
20,2.1,0.58,0.16,5.6,14,19,57,44.3,92,1.8
20,2,0.53,0.14,2.9,12,15,54,46.9,91,1.7
20,2,0.51,0.14,3.6,13,17,57,65.1,90,1.8
20,1.9,0.54,0.13,3.8,13,17,62,71.6,88,1.8
20,1.8,0.65,0.13,4.4,15,20,64,91.1,87,1.9
20,1.8,0.52,0.11,2.2,16,18,51,62.5,88,1.7
20,1.7,0.39,0.08,2.3,11,13,36,50.8,87,1.7
20,1.7,0.41,0.1,0.9,11,12,22,14.4,87,1.7
20,1.7,0.42,0.11,1,13,14,18,18.3,87,1.5
20,1.7,0.34,0.08,0.3,10,11,12,10.5,88,1.3
19,1.7,0.28,0.06,0.3,8.7,9,15,15.7,89,1.4
19,1.7,0.36,0.08,0.1,12,12,16,7.9,89,1.4
19,1.7,0.4,0.1,1,17,18,18,7.9,90,1.5
19,1.8,0.43,0.12,1.1,21,22,21,5.3,90,1.5
19,1.7,0.31,0.07,0.2,8.1,8.4,21,9.2,87,1.7
18,1.7,0.29,0.05,0.3,4.6,4.8,19,9.2,87,1.5
